DescricaoExemplo;CodigoCorreto
manutenÁ„o moto e gasolina| REPARO NO FREIO DA MOTO ISRAEL;533
GRADE DE PPR MESSIAS| GRADE PPR MESSIAS;362
SERVI√áO DE TERCEIRO| FRETE ESPATALADOR;362
AR-CONDICIONADO (CAIQUE SOUSA PIRES)| G√ÅS DO AR-CONDICIONADO;362
manutenÁ„o moto e gasolina| TROCA DE IGNI√á√ÉO LEANDRO;533
manutenÁ„o moto e gasolina| AJUSTE NA CORRENTE MOTO;533
manutenÁ„o moto e gasolina| servi√ßo do banco;533
manutenÁ„o moto e gasolina| REVIS√ÉO FACTOR;533
manutenÁ„o moto e gasolina| REVIS√ÉO TENERE;533
IPTU GARAGEM| GRAGEM 03;348
IPTU GARAGEM| GARAGEM 4;348
INSS/IRRF| INSS;191
IPTU| IPTU SALA 601;348
IPTU| IPTU SALA 1201;348
IPTU| IPTU SALA 1202;348
correios| CORREIOS;357
correios;357
DIVERSOS| CORREIOS;359
Material de Escritorio| MATERIAL DE ESCRIToRIO;359
Material de Escritorio| CARREGADOR MOTO;359
DIVERSOS| MATERIAL DE ESCRIT√ìRIO;359
EMBALAGENS E PAPELARIA | MANTA EMBALAGEM;715
Estorno de Cliente;504
Material de Escrit√≥rio| TINTA DA IMPRESSORA;359
Material de Escrit√≥rio| MATERIAL PARA ESCRIT√ìRIO;359
alimentaÁ„o| VA MATEUS;535
alimentacao| VA;535
alimentacao| alimentacao VIAGEM;535
alimentacao;535
SIMPLES NACIONAL| SIMPLES NACIONAL;479
Material de Escrit√≥rio| COMPRA DE LIXA E WD40;359
EMPRESTIMO SICOOB PRONAMP| EMPRESTIMO PRONAMP;152
agua semanal| AGUA SEMANAL;355
correios| CORREIOS ENTREGA DE TRABALHO;357
alimentacao| MERENDA SABADO;535
alimentacao SABADO;535
FGTS| FGTS;192
CARTAO SICOOB| EMBALAGENS;534
alimentaÁ„o| ALMO√áO GEISON LETICIA;535
EMPRESTIMO SCANNER CEREC| BOLETO EMPRESTIMO CEREC;152
COPA, HIGIENE E LIMPEZA| MATERIAL DE LIMPEZA;360
DESPESAS COM VIAGEM;711
DESPESAS COM VIAGEM | MAYANDRA DESPESAS COM VIAGENS;711
DESPESAS COM VIAGEM |0190 MAYANDRA DESPESAS COM VIAGENS;711
SIMPLES DENTAL PROGRAMA| SIMPLES IT serviÁos;506
VIAGEM;711
TRANSPORTE VIAGEM;768
TRANSPORTE ABASTECIMENTO ;768
MAPFRE SEGUROS| SEGURO;358
correios| ENTREGA DE TRABALHO;357
alimentaÁ„o| COMPRA DE SAL GROSSO;535
alimentaÁ„o| COMPRA DE CAF…;535
DIVERSOS| PEDAGIO DIVINOPOLIS;738
TRANSPORTE |0194 TRANSPORTE ZANONI;768
TRANSPORTE ZANONI;768
TRANSPORTE TRANSPORTE ;768
TRANSPORTE ;768
EMPRESTIMO SICOOB CAPITAL DE GIRO 30.000,00| EMPRESTIMO SICOOB;152
manutenÁ„o moto e gasolina;730
manutenÁ„o moto e gasolina| COMPRA DE SUPORTE CELULAR MOTO ISRAEL;730
CARTAO SICOOB| 99 POP;534
CARTAO SICOOB| MOVIDA;534
CARTAO SICOOB| POSTO BAR√ÉO;534
CARTAO SICOOB| DIGOOGAMING;534
CARTAO SICOOB| DALIPLAST;534
CARTAO SICOOB| MAKERTECHLABSTECNOLO;534
CARTAO SICOOB| HT CLUB DOS SEM;534
CARTAO SICOOB| BESSER SOLU√á√ïES;534
CARTAO SICOOB| OMEGA PALACE HOTEL;534
CARTAO SICOOB| AGENDOR;534
CARTAO SICOOB| DROGARIA ARAUJO;534
CARTAO SICOOB| MERCADO LIVRE;534
CARTAO SICOOB| MERCADO LIVRE EBAZAR;534
CARTAO SICOOB| MP*AGPTECNOLOGIAEMIN;534
CARTAO SICOOB| EC *5PRODUTOS;534
CARTAO SICOOB| GO LINHA AEREAS;534
CARTAO SICOOB| JAIR OLEOS;534
CARTAO SICOOB| K2GO;534
CARTAO SICOOB| CNG SOLU√á√ïES;534
CARTAO SICOOB| MOPTEC;534
CARTAO SICOOB| MEGASTAR;534
CARTAO SICOOB| MMTEC PROJET*Smar;534
CARTAO SICOOB| MATERIAL GRAFICO;534
CARTAO SICOOB| VERISURE;534
CARTAO SICOOB| LATAM;534
CARTAO SICOOB| TELA LCD;534
CARTAO SICOOB| AUTO CLAVE;534
CARTAO SICOOB| PROJETOR;534
CARTAO SICOOB| FELP FILM;534
CARTAO SICOOB| TAMBASA ATACADISTA;534
ALUGUEL(LOCA√á√ÉO)| ALUGUEL SALAS 1201 E 1202;740
material do laboratorio| COMPRA DE NARRUELA;359
material do laboratorio;359
MAYANDRA DESPESAS COM VIAGENS | DESPESAS COM VIAGENS;711
MAYANDRA DESPESAS COM VIAGENS ;711
Brindes/ConfraternizaÁ„o| ANIVERS√ÅRIO LEANDRO;536
 NIVER;536
ANIVERS¡RIO ;536
SIMPLES NASCIONAL PAR| PARCELAMENTO;550
INTERNET|0159 CONFIBER INTERNET;356
CARTAO SICOOB| SEM MULTAS SERVI«OS;356
CARTAO SICOOB| GIRAFAS - ALIMENTA«√O VIAGEM;534
TRANSPORTE| DESPESAS COM VIAGENS;711
DIVERSOS| MANUTEN«√O CANETA PRODU«√O;729
MANUTEN«√O PRODU«√O;729
SIMPLES DENTAL PROGRAMA;506
DIVERSOS| FILTRO DE LINHA ESCRIT√ìRIO;359
Pgto de SERVI«OS(s) realizado(s) | Cliente: PRO ODONTO (DR.JHONI);504
VISITA COMERCIAL|0190 MAYANDRA DESPESAS COM VIAGENS;711
MAYANDRA DESPESAS COM VIAGENS | VISITA COMERCIAL;711
TRANSPORTE| ABASTECIMENTO COMERCIAL;768
JUROS PARCELAMENTO |0023 DIVERSOS;374
9 SCANBOODY SCAN INTRAORAL 918|0238 CIA DO IMPLANTE;506
CIA DO IMPLANTE| SCAN INTRA ORAL;506
CARTAO SICOOB| GONTIJO - IDENTIFICAR COMPRA;534
CARTAO SICOOB| APCD - IDENTIFICAR COMPRA;534
CARTAO ;534
CARTAO SICOOB| HOSTGATOR FLORIANOPOLIS (IDENTIFICAR COMPRA);534
CARTAO SICOOB IDENTIFICAR COMPRA;534
DENTAL FREE COMERCIO DE MATERIAIS ODONTOLOGICOS| FOTOPOLIMERIZADOR VALO GRAND CORDLESS CU;506
MOTOR MARATHON |0010 DENTAL FREE COMERCIO DE MATERIAIS ODONTOLOGICOS;506
MOTOR ULTIMATE |0010 DENTAL FREE COMERCIO DE MATERIAIS ODONTOLOGICOS;506
DIVERSOS| SEGURO SICOOB;358
DIVERSOS| SEGURO PRESTAMISTA;358
RECARGA DE CELULAR| 85 9428-8250-CLARO/85 9289-0453-CLARO/85 9208-8482-CLaro/85 9847-900;356
CARTAO SICOOB| 3B EVENTOS - IDENTIFICAR COMPRA;534
DIVERSOS| PIX;738
CARTAO SICOOB| EQUIPINBOX - IMPRESSORA 3D;534
CARTAO SICOOB| TALMAX;534
Transf. |Origem:LIVRO CAIXA-Destino:DINHEIRO PARA CAIXA INTERNO;1
ALUGUEL LOCA«√O ;740
ALUGUEL LOCA«√O SALA ;740
ALUGUEL(LOCA«√O)| SALA 601;740
GESSO ESPECIAL FUJI |0010 DENTAL FREE COMERCIO DE MATERIAIS ODONTOLOGICOS;506
CERAMICA |0010 DENTAL FREE COMERCIO DE MATERIAIS ODONTOLOGICOS;506
CARTAO SICOOB| MERCADO LIVRE 30/09 IDENTIFICAR COMPRA;534
CARTAO SICOOB| CLEIDERSON DE OLIVEIRA - IDENTIFICAR COMPRA 26/10;534
CARTAO SICOOB;534
DENTAL FREE COMERCIO DE MATERIAIS ODONTOLOGICOS;506
DENTAL FREE ;506
Transf. |Origem:LIVRO CAIXA-Destino:DINHEIRO TED PARA CAIXA INTERNO;1
Transf. |Origem:;1
Transf. Origem:;1
Transf Origem;1
Transf;1
Transf. |Origem:DINHEIRO-Destino:LIVRO CAIXA TED PARA LIVRO CAIXA;1
Transf. |Origem: Destino:;1
Transf. |Origem:LIVRO CAIXA-Destino:DINHEIRO TED PARA LIVRO CAIXA;1
Transf. |Origem Destino;1
EMPRESTIMO SICOOB CAPITAL DE GIRO 30.000,00| PARCELADO 36 * Data Vencimento: 15/04/202;152
Transporte - Cad| VT MATEUS;738
Transf. |Origem:LIVRO CAIXA-Destino:DINHEIRO TED PARA CAIXA INTERNO PGT DA QUINZENA;1
CARTAO SICOOB| PORTO SEGURO CIA (IDENTIFICAR COMPRA);534
Transf. |Origem:LIVRO CAIXA-Destino:DINHEIRO TED PARA CAIXA INTERNO FOLHA;1
DIVERSOS| BOLO ANIVERSARIANTES DO M√äS;536
TALMAX| Fresadora B42 Sem milbox (Ir√° utilizar o Milbox que j√° possui) Entrada R$ 30.000,;570
Pgto de SERVI«OS(s) realizado(s) | Cliente: RODRIGO HENRIQUE CUNHA SANTOS;504
TALMAX Fresadora;570
TALMAX -Fresadora;570
TALMAX| Fresadora ;570
TALMAX;506
NAYARA IT | PAGAMENTO;738
VITOR ABREU| PAGAMENTO MENSAL;581
CARTAO SICOOB| DENTAL MENSAL (VALOR REAL R$ 2.833,66);534
PP TRIGO INDUSTRIA E COMERCIO| COMPRA DE PAO;535
CARTAO SICOOB| MP*UNIVENDASML (23/02) - MONITOR COMPUTADOR CAD PRODRU√á√ÉO;534
UNIMED PLANO DE SA⁄DE;699
 PLANO DE SA⁄DE;699
UNIMED (CDL )| PLANO DE SA⁄DE;699
CARTAO SICOOB| SEGURO MEDIT - RECEBER FILIPI PERFEITO;534
ANA PAULA TERCEIRIZA«√O| PAGAMENTO MENSAL;467
material do laboratorio| ARRUELA;359
RECARGA CELULAR| RECARGA COMERCIAL CRC;356
DDO Materiais Prot. Dent·ria Ltda| COMPRA DE INSUMOS;506
CARTAO SICOOB| METAIMPORTA√á√ïES COMPRA FEITA DIA 17/10 (IDENTIFICAR);534
DDO Materiais Prot. Dent·ria Ltda;506
INSUMOS;506
material do laboratorio| COMPRA DE ETANOL;359
DIVERSOS| CESTA DOA«√O;738
